index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,year
2514,Reservoir,119 Boldrewood Pde,3,h,,S,Barry,9/16/2017,12,3073,3,1,2,735,126,1970,,-37.71491,145.02191,Northern Metropolitan,21650,2017
2515,Elsternwick,275 Kooyong Rd,3,h,,S,Biggin,11/27/2016,8.5,3185,3,1,1,418,152,1890,Glen Eira,-37.8831,145.0153,Southern Metropolitan,4898,2016
2516,Brunswick,3/15 Mitchell St,2,u,,SP,Walshe,5/6/2017,5.2,3056,2,1,2,173,77,1970,Moreland,-37.7586,144.9653,Northern Metropolitan,11918,2017
2517,Ashwood,2/53 Salisbury Rd,3,t,,S,Barry,8/28/2016,12.2,3147,2,1,2,212,130,2012,Monash,-37.8723,145.1089,Southern Metropolitan,2894,2016
2518,Bundoora,398 Grimshaw St,3,h,,S,Barry,7/22/2017,12.1,3083,3,1,3,539,126,1970,Banyule,-37.7015,145.07548,Northern Metropolitan,10175,2017
2519,Keilor East,2/64 Dinah Pde,3,t,,S,Nelson,12/3/2016,12.8,3033,3,2,1,184,126,2012,Moonee Valley,-37.7424,144.8639,Western Metropolitan,5629,2016
2520,Camberwell,26 Hunter Rd,3,h,,S,Fletchers,2/25/2017,7.8,3124,3,1,2,692,164,1940,Boroondara,-37.8379,145.0849,Southern Metropolitan,8920,2017
2521,Cheltenham,1/31 Cavanagh St,2,t,,S,Ray,6/3/2017,17.9,3192,2,1,2,359,98.5,1991,Kingston,-37.96342,145.06516,Southern Metropolitan,9758,2017
2522,Donvale,1 Bernarra Ct,7,h,,S,Ray,7/1/2017,16.1,3111,7,2,4,5022,409.54,2004,Manningham,-37.76598,145.19329,Eastern Metropolitan,4790,2017
2523,Richmond,50B Duke St,3,h,,S,Biggin,12/10/2016,2.6,3121,3,2,1,120,126,2010,Yarra,-37.8243,145.0034,Northern Metropolitan,14949,2016
2524,Hawthorn East,10/26 Redfern Rd,3,t,,S,Jellis,10/8/2016,7.5,3123,3,2,2,94,169,2005,Boroondara,-37.8302,145.0525,Southern Metropolitan,6482,2016
2525,Sunbury,35 Oxley St,3,h,,S,Barry,9/3/2017,31.7,3429,3,2,4,664,138,1975,,-37.58196,144.71066,Western Metropolitan,14092,2017
2526,Rockbank,2013 Western Hwy,2,h,,SP,YPA,7/1/2017,23.8,3335,2,1,0,609,126,1970,Melton,-37.73289,144.66615,Western Metropolitan,538,2017
2527,Bentleigh,147 Tucker Rd,4,h,,S,hockingstuart,6/18/2016,13,3204,4,2,3,591,126,1970,Glen Eira,-37.9215,145.0505,Southern Metropolitan,6795,2016
2528,Kensington,4/130 Kensington Rd,2,t,,S,Rendina,5/7/2016,4.2,3031,2,1,1,325,112,2002,Melbourne,-37.7976,144.9213,Northern Metropolitan,5263,2016
2529,Brighton,11a Elm Gr,2,h,,S,hockingstuart,11/12/2016,11.2,3186,2,1,2,318,126,1970,Bayside,-37.9011,145.0011,Southern Metropolitan,10579,2016
2530,South Yarra,8/18 Darling St,2,u,,S,hockingstuart,3/4/2017,3.3,3141,2,1,1,0,64,1970,Stonnington,-37.8374,144.9918,Southern Metropolitan,14887,2017
2531,Hawthorn East,16/330 Riversdale Rd,2,u,,S,RT,5/20/2017,7.5,3123,2,1,1,1536,126,1970,Boroondara,-37.8307,145.0493,Southern Metropolitan,6482,2017
2532,Camberwell,8/595 Burke Rd,2,t,,S,Ray,6/17/2017,7.7,3124,2,2,1,112,126,1970,Boroondara,-37.84085,145.05415,Southern Metropolitan,8920,2017
2533,Mount Waverley,46 Sesame St,5,h,,S,Jellis,7/15/2017,14.2,3149,5,5,2,729,398,2016,Monash,-37.86582,145.14824,Eastern Metropolitan,13366,2017
2534,Malvern,13 Nicholls St,3,h,,PI,Jellis,5/27/2017,5.9,3144,3,2,0,312,141,1920,Stonnington,-37.86162,145.03065,Southern Metropolitan,4675,2017
2535,Moonee Ponds,99 Eglinton St,4,h,,PI,Frank,4/8/2017,6.9,3039,4,2,3,675,228,1920,Moonee Valley,-37.7686,144.912,Western Metropolitan,6232,2017
2536,Bulleen,12 Rocklea Rd,3,h,,S,Barry,9/23/2017,10.8,3105,3,2,2,697,158,1970,,-37.76823,145.08103,Eastern Metropolitan,4480,2017
2537,South Yarra,3/43 Cromwell Rd,2,u,,S,hockingstuart,6/17/2017,2.7,3141,2,1,1,1272,126,1970,Stonnington,-37.84283,145.00015,Southern Metropolitan,14887,2017
2538,Moorabbin,6 Cooma St,2,h,,S,McGrath,4/8/2017,14.6,3189,2,1,1,593,126,1970,Kingston,-37.9396,145.0519,Southern Metropolitan,2555,2017
2539,South Yarra,19/47 Rockley Rd,2,u,,VB,Abercromby's,8/22/2016,3.3,3141,2,1,1,0,73,1980,Stonnington,-37.835,145.0002,Southern Metropolitan,14887,2016
2540,Werribee,43 Stawell St,3,h,,SP,YPA,6/17/2017,14.7,3030,3,2,2,1025,195,1970,Wyndham,-37.90188,144.65138,Western Metropolitan,16166,2017
2541,Greensborough,67 Alexandra St,3,h,,S,Nelson,6/24/2017,16.1,3088,3,1,2,1020,126,1970,Banyule,-37.70821,145.10405,Northern Metropolitan,8524,2017
2542,Moorabbin,56 Chapel Rd,4,h,,S,Buxton,7/26/2016,14.6,3189,4,1,2,592,126,1970,Kingston,-37.9407,145.0482,Southern Metropolitan,2555,2016
2543,Ashwood,5 Harcourt St,2,h,,S,Barry,4/8/2017,12.2,3147,2,1,2,803,95,1950,Monash,-37.8683,145.1064,Southern Metropolitan,2894,2017
2544,Chadstone,2/2 Robert St,3,t,,S,Buxton,5/28/2016,13.6,3148,3,2,1,177,111,2012,Monash,-37.8824,145.1042,Southern Metropolitan,3582,2016
2545,Brunswick,146 Donald St,3,h,,S,Jellis,9/23/2017,5.2,3056,3,1,1,331,120,1920,,-37.75877,144.97316,Northern Metropolitan,11918,2017
2546,Coburg,87 Nicholson St,4,h,,S,Brad,8/19/2017,6.7,3058,4,2,1,430,155,1920,,-37.7505,144.97649,Northern Metropolitan,11204,2017
2547,Heidelberg Heights,23 Flinders St,2,h,,S,Barry,4/22/2017,10.5,3081,2,1,0,341,126,1970,Banyule,-37.7366,145.0509,Eastern Metropolitan,2947,2017
2548,Brighton,2/72 Dendy St,3,t,,S,Marshall,3/18/2017,11.2,3186,3,2,1,313,126,1970,Bayside,-37.9206,145,Southern Metropolitan,10579,2017
2549,Moonee Ponds,69 Aberfeldie St,4,h,,S,Brad,3/4/2017,6.9,3039,4,3,2,615,201,1920,Moonee Valley,-37.7617,144.9052,Western Metropolitan,6232,2017
2550,Richmond,101/27 Dickmann St,2,u,,VB,hockingstuart,5/13/2017,2.6,3121,2,2,1,760,126,2010,Yarra,-37.825,144.9976,Northern Metropolitan,14949,2017
2551,Ivanhoe,950 Heidelberg Rd,3,h,,S,Nelson,11/7/2016,7.9,3079,3,1,2,537,170,1945,Banyule,-37.7773,145.0379,Eastern Metropolitan,5549,2016
2552,Kensington,8 Bent St,2,h,,S,Jellis,12/3/2016,4.2,3031,2,1,0,150,126,1970,Melbourne,-37.7963,144.935,Northern Metropolitan,5263,2016
2553,Mont Albert,26 Serpentine St,3,t,,S,Jellis,6/27/2016,11.8,3127,3,2,2,255,152,2000,Whitehorse,-37.8192,145.111,Eastern Metropolitan,2079,2016
2554,Preston,263 Tyler St,4,h,,S,RW,4/8/2017,8.8,3072,4,3,2,466,126,1970,Darebin,-37.731,145.0115,Northern Metropolitan,14577,2017
2555,Lalor,6 Willard Ct,4,h,,S,Harcourts,7/15/2017,16.3,3075,4,2,3,578,126,1970,Whittlesea,-37.66225,145.0116,Northern Metropolitan,8279,2017
2556,Albert Park,354 Montague St,3,h,,VB,Greg,6/24/2017,3,3206,3,1,1,130,126,1970,Port Phillip,-37.842,144.95601,Southern Metropolitan,3280,2017
2557,St Kilda,5/46 Greeves St,2,u,,S,McGrath,6/18/2016,6.1,3182,2,1,1,0,71,1940,Port Phillip,-37.8665,144.9833,Southern Metropolitan,13240,2016
2558,Parkdale,14 Robert St,3,h,,S,Barry,8/26/2017,21.5,3195,3,1,2,602,126,1970,,-37.98656,145.08237,South-Eastern Metropolitan,5087,2017
2559,Brunswick West,9/39 Heller St,1,u,,S,hockingstuart/Advantage,5/22/2016,5.9,3055,1,1,1,0,42,1970,Moreland,-37.7748,144.9483,Northern Metropolitan,7082,2016
2560,Yarraville,1/53 Stephen St,2,u,,PI,hockingstuart,8/6/2016,7,3013,2,0,0,0,126,1970,Maribyrnong,-37.8129,144.8952,Western Metropolitan,6543,2016
2561,Preston,16 Josephine Gr,2,h,,S,Barry,8/22/2016,8.8,3072,2,1,2,712,126,1970,Darebin,-37.7354,145.015,Northern Metropolitan,14577,2016
2562,Doncaster,5 Iskandar Pl,5,h,,VB,Jellis,5/22/2016,13.9,3108,5,4,2,500,429,2007,Manningham,-37.7863,145.1105,Eastern Metropolitan,9028,2016
2563,Doncaster,15 Blossom Ct,3,h,,PI,Barry,8/12/2017,12.4,3108,3,3,2,621,126,1970,Manningham,-37.79207,145.11672,Eastern Metropolitan,9028,2017
2564,Collingwood,2/13 Alexander St,1,u,,S,Woodards,7/16/2016,1.6,3066,1,1,1,0,44,1970,Yarra,-37.796,144.9911,Northern Metropolitan,4553,2016
2565,Greensborough,34 Crana Gr,3,h,,S,Morrison,9/16/2017,16.1,3088,3,2,2,587,200,1979,,-37.68569,145.10902,Northern Metropolitan,8524,2017
2566,Sunshine West,41 Armstrong St,5,h,,S,Douglas,8/28/2016,13.5,3020,4,2,2,654,126,1970,Brimbank,-37.7907,144.821,Western Metropolitan,6763,2016
2567,Melton,1 Irving Rd,4,h,,S,YPA,6/3/2017,31.7,3337,4,2,2,643,30,1970,Melton,-37.68834,144.56803,Western Victoria,3600,2017
2568,Coburg,27 Higinbotham St,3,h,,S,Brad,11/7/2016,7.8,3058,3,1,1,372,125,1920,Moreland,-37.735,144.9581,Northern Metropolitan,11204,2016
2569,Williamstown,116a Hannan St,3,h,,PI,Sweeney,5/22/2016,8,3016,3,2,2,289,158,1970,Hobsons Bay,-37.8593,144.8881,Western Metropolitan,6380,2016
2570,Maidstone,48/48 Eucalyptus Dr,2,u,,PI,hockingstuart,4/16/2016,9.2,3012,2,1,1,0,69,2011,Maribyrnong,-37.7795,144.8729,Western Metropolitan,3873,2016
2571,Armadale,16 Bailey Av,4,h,,S,Marshall,8/26/2017,6.3,3143,4,2,1,574,191,1910,,-37.86325,145.02422,Southern Metropolitan,4836,2017
2572,St Kilda,14/12 Fitzroy St,1,u,,VB,Gary,7/1/2017,5,3182,1,1,1,0,41,2005,Port Phillip,-37.8614,144.97407,Southern Metropolitan,13240,2017
2573,Brunswick,373 Brunswick Rd,3,h,,VB,Nelson,4/8/2017,5.2,3056,3,2,3,299,126,1970,Moreland,-37.7759,144.952,Northern Metropolitan,11918,2017
2574,Oakleigh,134 Atherton Rd,4,h,,S,Ray,11/19/2016,14,3166,4,1,2,802,126,1970,Monash,-37.9002,145.099,Southern Metropolitan,3224,2016
2575,Bentleigh,25 Mitchell St,3,h,,S,hockingstuart,11/19/2016,13,3204,3,2,3,568,126,1970,Glen Eira,-37.9246,145.0383,Southern Metropolitan,6795,2016
2576,Eltham,38 Meruka Dr,4,h,,S,Barry,7/15/2017,18,3095,4,3,2,791,230,1974,Nillumbik,-37.71296,145.13773,Eastern Metropolitan,6990,2017
2577,Bentleigh East,2/3 Wonga Ct,2,t,,S,hockingstuart,10/8/2016,13.9,3165,2,1,1,0,75,1960,Glen Eira,-37.9082,145.0681,Southern Metropolitan,10969,2016
2578,Ivanhoe,2/125 Locksley Rd,2,u,,VB,Miles,12/3/2016,7.9,3079,2,1,1,0,126,1970,Banyule,-37.7662,145.0516,Eastern Metropolitan,5549,2016
2579,South Yarra,7 Cassell St,2,h,,PI,Jellis,5/20/2017,3.3,3141,2,2,0,208,145,1880,Stonnington,-37.8433,145.0024,Southern Metropolitan,14887,2017
2580,Pascoe Vale,30 Downs St,2,t,,S,Nelson,5/22/2016,9.9,3044,2,1,2,135,100,2012,Moreland,-37.7242,144.9411,Northern Metropolitan,7485,2016
2581,Essendon,154 Spencer St,4,h,,S,Barry,2/25/2017,8,3040,4,1,2,650,126,1950,Moonee Valley,-37.7452,144.8941,Western Metropolitan,9264,2017
2582,Reservoir,1053 High St,3,h,,S,Stockdale,8/12/2017,12,3073,3,1,2,952,126,1970,Darebin,-37.69969,145.01039,Northern Metropolitan,21650,2017
2583,Northcote,114 Beavers Rd,3,h,,VB,Nelson,6/24/2017,5.3,3070,3,1,1,188,126,1970,Darebin,-37.76592,144.99265,Northern Metropolitan,11364,2017
2584,Reservoir,6 McShane St,3,h,,S,Barry,6/18/2016,11.2,3073,3,1,2,945,126,1970,Darebin,-37.7027,145.0001,Northern Metropolitan,21650,2016
2585,Greenvale,21 Destination Dr,4,h,,S,YPA,6/24/2017,20.4,3059,4,2,2,494,298.21,2014,Hume,-37.61424,144.88705,Northern Metropolitan,4864,2017
2586,Strathmore,4 Collegian Av,3,h,,S,McDonald,8/26/2017,8.2,3041,3,1,3,824,189,1935,,-37.73797,144.92455,Western Metropolitan,3284,2017
2587,Heidelberg Heights,97 Edwin St,4,h,,PI,Fletchers,8/12/2017,8.8,3081,4,2,4,596,120,1930,Banyule,-37.75008,145.05051,Eastern Metropolitan,2947,2017
2588,Preston,86 Cramer St,3,h,,PI,Woodards,11/27/2016,8.8,3072,3,1,4,728,126,1970,Darebin,-37.7392,144.9937,Northern Metropolitan,14577,2016
2589,Kensington,68 Hardiman St,2,h,,SP,Nelson,11/27/2016,4.2,3031,2,1,1,183,126,1970,Melbourne,-37.7959,144.9342,Northern Metropolitan,5263,2016
2590,Brunswick West,16 Bakers Pde,4,h,,PI,Nelson,7/30/2016,5.9,3055,4,3,2,499,150,1925,Moreland,-37.7538,144.944,Northern Metropolitan,7082,2016
2591,Thornbury,2/121 Darebin Rd,2,u,,S,Barry,5/22/2016,6.5,3071,2,1,1,133,83,1970,Darebin,-37.7641,145.0104,Northern Metropolitan,8870,2016
2592,Toorak,18/76 Mathoura Rd,1,u,,S,Nelson,4/8/2017,4.6,3142,1,1,1,0,126,1970,Stonnington,-37.8428,145.0081,Southern Metropolitan,7217,2017
2593,Pascoe Vale,251 Gaffney St,4,h,,VB,hockingstuart,2/25/2017,9.9,3044,4,1,1,420,126,1970,Moreland,-37.7326,144.9475,Northern Metropolitan,7485,2017
2594,Ormond,15 Tyrone St,4,h,,S,Buxton,8/6/2016,11.8,3204,4,2,1,678,162,1920,Glen Eira,-37.9065,145.0461,Southern Metropolitan,3578,2016
2595,Brunswick East,106/360 Lygon St,2,u,,PI,Jellis,5/28/2016,4.5,3057,2,2,1,0,126,1970,Moreland,-37.7679,144.9725,Northern Metropolitan,5533,2016
2596,Glen Iris,6/35 Scott Gr,2,u,,S,Thomson,7/1/2017,7.3,3146,2,1,1,0,126,1970,Stonnington,-37.85546,145.04998,Southern Metropolitan,10412,2017
2597,Hampton East,1/23 Wickham Rd,3,h,,S,Buxton,6/18/2016,14.5,3188,2,2,2,393,140,1950,Bayside,-37.9431,145.0267,Southern Metropolitan,2356,2016
2598,Glen Iris,72 Bath Rd,3,h,,VB,Kay,8/19/2017,7.3,3146,3,1,2,403,124,1960,,-37.85574,145.09051,Southern Metropolitan,10412,2017
2599,Richmond,288 Church St,3,h,,S,Abercromby's,2/25/2017,2.6,3121,3,2,1,189,164,1900,Yarra,-37.82,144.9987,Northern Metropolitan,14949,2017
2600,Alphington,5/5 Yarana Rd,2,u,,VB,Nelson,5/22/2016,6.4,3078,2,1,1,0,60,1960,Darebin,-37.7773,145.0314,Northern Metropolitan,2211,2016
2601,Albion,41 Adelaide St,3,h,,S,Bells,9/23/2017,10.5,3020,3,1,1,697,121,1950,,-37.78036,144.8195,Western Metropolitan,2185,2017
2602,Elwood,11 Joyce St,3,h,,VB,Marshall,9/16/2017,7.2,3184,3,2,2,380,126,1920,,-37.88922,144.9896,Southern Metropolitan,8989,2017
2603,Cheltenham,2 Barclay Dr,3,h,,S,O'Brien,9/9/2017,17.9,3192,3,1,2,570,126,1970,,-37.96258,145.08038,Southern Metropolitan,9758,2017
2604,Heidelberg West,22 Kokoda St,2,h,,S,Haughton,11/27/2016,9.4,3081,2,1,3,632,77,1960,Banyule,-37.7443,145.0462,Eastern Metropolitan,2674,2016
2605,Bentleigh East,27 Neville St,4,h,,S,hockingstuart,3/4/2017,13.9,3165,4,2,4,601,126,1970,Glen Eira,-37.9234,145.0533,Southern Metropolitan,10969,2017
2606,Malvern East,3/1 Grant St,3,t,,S,Jellis,5/27/2017,8.4,3145,3,1,1,206,110,1980,Stonnington,-37.87107,145.04991,Southern Metropolitan,8801,2017
2607,Ashwood,4/36 Queens Pde,2,u,,S,Noel,3/18/2017,12.2,3147,2,1,1,153,80,1970,Monash,-37.8696,145.0962,Southern Metropolitan,2894,2017
2608,Truganina,1/14 Stable Dr,3,u,,SP,Sweeney,5/27/2017,18.4,3029,3,2,1,289,138,2008,Wyndham,-37.84169,144.72333,Western Metropolitan,5811,2017
2609,South Yarra,6/210 Domain Rd,2,u,,S,Williams,10/15/2016,3.3,3141,2,1,1,0,126,1960,Melbourne,-37.8342,144.9842,Southern Metropolitan,14887,2016
2610,Glen Iris,16 Flowerdale Rd,5,h,,PI,Marshall,5/14/2016,9.2,3146,5,3,1,696,248,1920,Boroondara,-37.8563,145.0709,Southern Metropolitan,10412,2016
2611,West Footscray,22 Clarendon Pde,6,h,,PI,Alexkarbon,12/3/2016,8.2,3012,6,3,2,554,199,1940,Maribyrnong,-37.8053,144.8681,Western Metropolitan,5058,2016
2612,Clayton,22 Burton Av,3,h,,S,Darras,9/16/2017,16.7,3168,3,1,2,1040,126,1970,,-37.92614,145.11713,South-Eastern Metropolitan,5837,2017
2613,Preston,47 Cooper St,7,h,,SP,RW,7/29/2017,8.4,3072,7,3,4,530,126,1970,Darebin,-37.73526,144.99508,Northern Metropolitan,14577,2017
2614,Ivanhoe,4 Linton St,3,h,,VB,Miles,3/4/2017,7.9,3079,3,2,2,665,126,1970,Banyule,-37.7714,145.0455,Eastern Metropolitan,5549,2017
2615,Brunswick,234 Victoria St,2,h,,S,Nelson,9/3/2016,5.2,3056,2,1,0,225,108,1905,Moreland,-37.7676,144.9665,Northern Metropolitan,11918,2016
2616,St Kilda,13/220 Barkly St,2,u,,SP,Buxton,4/8/2017,6.1,3182,2,2,1,2920,84,2006,Port Phillip,-37.8709,144.9807,Southern Metropolitan,13240,2017
2617,Fitzroy North,371 Rae St,2,h,,S,Nelson,6/17/2017,3.6,3068,2,1,0,183,126,1890,Yarra,-37.78353,144.97991,Northern Metropolitan,6244,2017
2618,Sunshine,1/136 Wright St,2,u,,PI,Douglas,9/3/2016,12.6,3020,2,1,1,79,126,1970,Brimbank,-37.7952,144.8262,Western Metropolitan,3755,2016
2619,Moonee Ponds,27 The Strand,2,h,,S,Nelson,7/1/2017,6.2,3039,2,1,1,450,126,1970,Moonee Valley,-37.76121,144.92525,Western Metropolitan,6232,2017
2620,Elwood,8/68 Goldsmith St,2,u,,PI,Hodges,2/25/2017,7.7,3184,2,1,1,0,70,1935,Port Phillip,-37.8817,144.984,Southern Metropolitan,8989,2017
2621,Essendon West,57 Hampton Rd,3,h,,VB,Nelson,7/30/2016,9.8,3040,3,1,2,473,126,1970,Moonee Valley,-37.7519,144.883,Western Metropolitan,588,2016
2622,Reservoir,9/99 Barton St,2,u,,S,Love,8/22/2016,11.2,3073,2,1,1,0,54,2012,Darebin,-37.7112,144.9989,Northern Metropolitan,21650,2016
2623,South Yarra,30/30 Murphy St,2,u,,S,hockingstuart,5/13/2017,3.3,3141,2,1,1,0,126,1970,Stonnington,-37.837,144.9907,Southern Metropolitan,14887,2017
2624,Fawkner,3 Syndal St,3,h,,SP,Brad,3/18/2017,12.4,3060,3,1,3,602,97,1950,Moreland,-37.7144,144.9737,Northern Metropolitan,5070,2017
2625,South Yarra,2 Hopetoun Gr,3,h,,S,Jellis,9/9/2017,2.7,3141,3,1,2,250,98,1900,,-37.84324,144.99933,Southern Metropolitan,14887,2017
2626,Preston,86 Malpas St,3,h,,SP,McGrath,5/20/2017,8.8,3072,3,0,0,533,126,1970,Darebin,-37.7336,145.0168,Northern Metropolitan,14577,2017
2627,Northcote,174 Beaconsfield Pde,4,h,,S,Nelson,6/27/2016,5.5,3070,4,2,1,355,126,1970,Darebin,-37.7636,144.9872,Northern Metropolitan,11364,2016
2628,Northcote,15 Bird Av,3,h,,PI,Collins,7/15/2017,5.3,3070,3,1,2,449,126,1940,Darebin,-37.76198,144.99087,Northern Metropolitan,11364,2017
2629,Glen Waverley,31 Hampstead Cr,4,h,,PI,Barry,9/9/2017,16.7,3150,4,2,5,1021,126,1970,,-37.90317,145.16607,Eastern Metropolitan,15321,2017
2630,Strathmore,16 Wendora St,3,h,,S,Nelson,9/24/2016,9.7,3041,3,2,1,752,126,1970,Moonee Valley,-37.7303,144.9198,Western Metropolitan,3284,2016
2631,Montmorency,17 Virginia Ct,4,h,,S,Barry,5/27/2017,16.2,3094,4,3,2,701,300,1993,Banyule,-37.71871,145.13559,Eastern Metropolitan,3891,2017
2632,Glen Waverley,42 Caithness Cr,3,h,,S,Harcourts,8/12/2017,16.7,3150,3,2,1,853,28,1972,Monash,-37.88984,145.18016,Eastern Metropolitan,15321,2017
2633,Glen Iris,8 Morell St,4,h,,S,Jellis,3/18/2017,9.2,3146,4,2,3,733,126,1970,Boroondara,-37.8561,145.0864,Southern Metropolitan,10412,2017
2634,Caulfield East,4 Lord St,3,h,,S,Bayside,10/8/2016,9.3,3145,3,1,2,658,126,1970,Glen Eira,-37.885,145.0466,Southern Metropolitan,608,2016
2635,Yarraville,24 Goulburn St,3,h,,S,RT,6/3/2017,6.3,3013,3,1,0,230,126,1970,Maribyrnong,-37.81493,144.88974,Western Metropolitan,6543,2017
2636,Carnegie,4/49 Coorigil Rd,3,u,,S,hockingstuart,5/20/2017,11.4,3163,3,1,2,1103,100,1987,Glen Eira,-37.8958,145.0603,Southern Metropolitan,7822,2017
2637,Seddon,52 Alexander St,2,h,,S,Burnham,3/18/2017,6.6,3011,2,1,2,306,126,1970,Maribyrnong,-37.8037,144.8893,Western Metropolitan,2417,2017
2638,Abbotsford,85 Turner St,2,h,,S,Biggin,12/3/2016,2.5,3067,2,1,1,202,126,1970,Yarra,-37.7996,144.9984,Northern Metropolitan,4019,2016
2639,Craigieburn,84 Royal Tce,3,t,,S,Ray,5/27/2017,20.6,3064,3,2,2,219,175,2010,Hume,-37.57243,144.92663,Northern Metropolitan,15510,2017
2640,Pascoe Vale,8A Tangyes St,3,h,,S,Nelson,7/8/2017,8.5,3044,3,2,1,330,226,2012,Moreland,-37.72623,144.94521,Northern Metropolitan,7485,2017
2641,Ormond,3/10 Ormond Rd,1,u,,VB,Ray,3/4/2017,11.8,3204,1,1,1,0,126,1970,Glen Eira,-37.9032,145.0455,Southern Metropolitan,3578,2017
2642,Preston,24 Benambra St,3,h,,S,Barry,8/6/2016,8.8,3072,3,1,2,647,126,1970,Darebin,-37.7331,144.988,Northern Metropolitan,14577,2016
2643,Glen Iris,6 Audrey Cr,5,h,,VB,Jellis,9/9/2017,7.3,3146,5,3,2,775,126,1970,,-37.85855,145.07775,Southern Metropolitan,10412,2017
2644,Brunswick,37 Fourth Av,3,h,,S,Nelson,7/8/2017,5.2,3056,3,1,1,210,101,1996,Moreland,-37.75746,144.95633,Northern Metropolitan,11918,2017
2645,Rosanna,4 Devlin Ct,4,h,,SP,Miles,9/16/2017,8.9,3084,4,3,2,687,126,1970,,-37.73184,145.07061,Eastern Metropolitan,3540,2017
2646,Williamstown,16 Princes St,4,h,,SP,Raine&Horne,4/16/2016,8,3016,4,1,1,307,150,1900,Hobsons Bay,-37.8525,144.8945,Western Metropolitan,6380,2016
2647,Glen Iris,1/146 Glen Iris Rd,2,u,,VB,Jellis,11/12/2016,9.2,3146,2,1,2,123,126,1970,Boroondara,-37.8567,145.0666,Southern Metropolitan,10412,2016
2648,Templestowe Lower,2/27 Ruffey St,3,u,,S,Barry,6/18/2016,13.8,3107,3,1,1,465,105,1975,Manningham,-37.7549,145.1185,Eastern Metropolitan,5420,2016
2649,South Kingsville,2/108 Blackshaws Rd,2,u,,VB,Oak,8/28/2016,9.1,3015,2,1,1,78,62,1960,Hobsons Bay,-37.8337,144.8739,Western Metropolitan,984,2016
2650,Box Hill,43 Rose St,5,h,,S,Lindellas,7/8/2017,10.9,3128,5,3,2,803,126,1970,Whitehorse,-37.82148,145.1289,Eastern Metropolitan,4605,2017
2651,Sunshine,138 Devonshire Rd,4,h,,S,YPA,5/6/2017,12.6,3020,4,2,0,567,95,1950,Brimbank,-37.7866,144.8458,Western Metropolitan,3755,2017
2652,Moonee Ponds,4/6 Turner St,2,u,,S,Woodards,9/24/2016,6.9,3039,2,1,1,166,81,1965,Moonee Valley,-37.7624,144.9365,Western Metropolitan,6232,2016
2653,Coburg,11 Vincent St,3,h,,SP,Nelson,11/27/2016,7.8,3058,3,2,0,342,126,1970,Moreland,-37.743,144.956,Northern Metropolitan,11204,2016
2654,Clifton Hill,7 Turnbull St,4,h,,S,Biggin,5/6/2017,3.4,3068,4,1,2,306,126,1970,Yarra,-37.7888,144.9929,Northern Metropolitan,2954,2017
2655,Glen Waverley,37 Brentwood Dr,4,h,,S,Ray,5/27/2017,16.7,3150,4,2,2,690,126,1970,Monash,-37.90004,145.17205,Eastern Metropolitan,15321,2017
2656,Murrumbeena,6/51 Murrumbeena Rd,2,u,,S,Gary,5/13/2017,12.1,3163,2,1,2,1113,93,2010,Glen Eira,-37.8892,145.0664,Southern Metropolitan,4442,2017
2657,Ivanhoe,4/24 St Elmo Rd,2,t,,S,Miles,9/17/2016,7.9,3079,3,1,2,152,126,1970,Banyule,-37.7635,145.0464,Eastern Metropolitan,5549,2016
2658,Ivanhoe,19 Myrtle St,4,h,,VB,Miles,10/15/2016,7.9,3079,4,2,1,694,217,1950,Banyule,-37.7565,145.0506,Eastern Metropolitan,5549,2016
2659,Northcote,78 Bridge St,4,h,,S,Nelson,7/30/2016,5.5,3070,4,1,1,382,168,1970,Darebin,-37.7784,144.9959,Northern Metropolitan,11364,2016
2660,Hampton,36 Thomas St,4,h,,S,hockingstuart,9/3/2016,13.7,3188,4,3,2,928,300,1904,Bayside,-37.9389,145.0062,Southern Metropolitan,5454,2016
2661,Maribyrnong,26 Mitchell St,3,h,,S,Biggin,5/14/2016,8.7,3032,3,2,2,1396,175,1955,Maribyrnong,-37.7833,144.888,Western Metropolitan,4918,2016
2662,Rowville,3 Barwon Ct,3,h,,S,Barry,7/15/2017,23.5,3178,3,2,1,721,143,1984,Knox,-37.91713,145.24706,South-Eastern Metropolitan,11667,2017
2663,St Kilda,46 Chapel St,3,h,,S,Langwell,7/15/2017,5,3182,3,1,1,198,126,1970,Port Phillip,-37.86566,144.99104,Southern Metropolitan,13240,2017
2664,Reservoir,3/14 Aberdeen St,2,u,,S,Nelson,8/13/2016,11.2,3073,2,1,1,0,126,1970,Darebin,-37.703,145.0201,Northern Metropolitan,21650,2016
2665,Hampton,58 Teddington Rd,3,h,,S,hockingstuart,6/18/2016,13.7,3188,3,2,2,320,126,1970,Bayside,-37.9364,145.021,Southern Metropolitan,5454,2016
2666,North Melbourne,10 Canning St,4,h,,S,Nelson,9/3/2016,2.3,3051,4,3,4,310,276,1880,Melbourne,-37.7958,144.944,Northern Metropolitan,6821,2016
2667,Mount Waverley,1/2 Gwynne St,2,u,,S,McGrath,5/27/2017,14.2,3149,2,1,1,296,126,1970,Monash,-37.87128,145.13051,Eastern Metropolitan,13366,2017
