index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,year
2464,Croydon,2/25 Ruskin Av,3,u,625500,S,C21,7/15/2017,23,3136,3,1,2,397,126,1950,Maroondah,-37.79795,145.2957,Eastern Metropolitan,11925,,2017
2465,Coburg,31 Hardwick St,3,h,885000,S,Nelson,6/18/2016,7.8,3058,3,1,2,255,126,1920,Moreland,-37.7493,144.9701,Northern Metropolitan,11204,,2016
2466,Altona,1/152 Blyth St,3,t,743000,SP,Gunn&Co,11/12/2016,13.8,3018,3,2,2,211,176,1970,Hobsons Bay,-37.8698,144.816,Western Metropolitan,5301,,2016
2467,Preston,16 Swallow St,3,h,1000000,S,Barry,7/26/2016,8.8,3072,4,1,2,621,126,1970,Darebin,-37.7415,145.0084,Northern Metropolitan,14577,,2016
2468,Springvale,67 Glendale Rd,6,h,917000,S,Barry,8/12/2017,20.8,3171,6,2,2,869,126,1970,Greater Dandenong,-37.93594,145.14674,South-Eastern Metropolitan,7412,,2017
2469,Glen Waverley,7 Kinnoull Gr,5,h,2650000,PI,Jellis,6/17/2017,16.7,3150,6,3,2,662,119,1960,Monash,-37.87853,145.15542,Eastern Metropolitan,15321,,2017
2470,Port Melbourne,22 Park Sq,3,h,1630000,S,Marshall,3/4/2017,3.8,3207,3,2,2,135,135,1997,Port Phillip,-37.8395,144.9343,Southern Metropolitan,8648,,2017
2471,Bulleen,41 Lilian St,3,h,1160000,S,Barry,6/3/2017,10.8,3105,3,1,1,603,126,1970,Manningham,-37.77173,145.09581,Eastern Metropolitan,4480,,2017
2472,Brunswick West,3/447 Brunswick Rd,2,u,400000,S,Nelson,5/22/2016,5.9,3055,2,1,1,0,126,1970,Moreland,-37.7752,144.9463,Northern Metropolitan,7082,,2016
2473,Essendon West,14 Clydebank Rd,3,h,810000,PI,Nelson,12/3/2016,9.8,3040,3,1,2,613,126,1970,Moonee Valley,-37.7552,144.8882,Western Metropolitan,588,,2016
2474,Werribee,4 Albany Ct,4,h,630000,S,hockingstuart,9/3/2017,14.7,3030,4,2,2,720,163,2001,,-37.87215,144.65608,Western Metropolitan,16166,,2017
2475,Carnegie,2/13 Emily St,2,u,603000,S,hockingstuart,5/20/2017,11.4,3163,2,1,1,2,126,1970,Glen Eira,-37.8912,145.0644,Southern Metropolitan,7822,,2017
2476,Clifton Hill,15 Dally St,2,h,1250000,S,Jellis,5/13/2017,3.4,3068,2,1,0,158,95,1890,Yarra,-37.7925,144.9995,Northern Metropolitan,2954,,2017
2477,Newport,10 Crawford St,1,h,643700,SP,Greg,8/28/2016,8.4,3015,1,1,0,129,45,1900,Hobsons Bay,-37.8491,144.8903,Western Metropolitan,5498,,2016
2478,Bentleigh East,13 Delma St,3,h,1510000,S,Buxton,4/29/2017,13.9,3165,3,1,2,689,126,1970,Glen Eira,-37.9317,145.0524,Southern Metropolitan,10969,,2017
2479,Sandringham,154 Abbott St,4,h,850000,PI,McGrath,7/8/2017,15.2,3191,4,3,2,709,327,2017,Bayside,-37.95095,145.02096,Southern Metropolitan,4497,,2017
2480,St Albans,63 Lovell Dr,3,h,600000,PI,FN,6/24/2017,14,3021,3,1,3,565,126,1970,Brimbank,-37.76454,144.80611,Western Metropolitan,14042,,2017
2481,Ivanhoe,5/19 Livingstone St,2,u,690000,S,Barry,10/15/2016,7.9,3079,2,1,1,103,83,1970,Banyule,-37.7671,145.0408,Eastern Metropolitan,5549,,2016
2482,Glenroy,78 Justin Av,2,h,805000,SP,RW,8/19/2017,11.2,3046,2,1,4,712,82,1970,,-37.69994,144.93489,Northern Metropolitan,8870,,2017
2483,Gladstone Park,245 Carrick Dr,3,h,629000,SP,Barry,8/12/2017,12.9,3043,3,1,2,552,136,1980,Hume,-37.68641,144.89826,Western Metropolitan,3285,,2017
2484,Craigieburn,28/60 Cradle Mountain Dr,2,t,310000,PI,Ray,7/15/2017,20.6,3064,2,1,1,38,114,2013,Hume,-37.57467,144.92229,Northern Metropolitan,15510,,2017
2485,Armadale,6/581 Orrong Rd,1,u,405000,S,Marshall,4/29/2017,6.3,3143,1,1,0,0,48,1966,Stonnington,-37.8531,145.0115,Southern Metropolitan,4836,,2017
2486,Hughesdale,19 Canterbury St,3,h,1055000,S,Woodards,10/8/2016,13,3166,3,1,1,562,97,1930,Monash,-37.9022,145.0811,Southern Metropolitan,3145,,2016
2487,Dingley Village,11 Evelyn Ct,4,h,970000,PI,Barry,8/19/2017,22.2,3172,4,2,2,364,210,1995,,-37.96853,145.12948,South-Eastern Metropolitan,3940,,2017
2488,Broadmeadows,8 Katandra Cr,3,h,460000,S,YPA,7/8/2017,14,3047,3,1,1,629,126,1970,Hume,-37.67197,144.91896,Northern Metropolitan,4294,,2017
2489,Toorak,10/530 Toorak Rd,2,u,525000,S,Jellis,5/28/2016,4.6,3142,2,1,1,0,82,1950,Stonnington,-37.8424,145.0184,Southern Metropolitan,7217,,2016
2490,Narre Warren,29 Bradley Tce,3,h,650000,SP,O'Brien,7/1/2017,34.1,3805,3,1,4,1042,126,1970,Casey,-38.03147,145.31126,South-Eastern Metropolitan,9376,,2017
2491,Collingwood,1/60 Budd St,3,t,897500,S,Jellis,5/14/2016,1.6,3066,3,2,1,82,82,1995,Yarra,-37.7961,144.9873,Northern Metropolitan,4553,,2016
2492,Caulfield South,14 Stone St,4,h,1550000,S,hockingstuart,5/27/2017,8.7,3162,4,1,2,584,126,1970,Glen Eira,-37.89694,145.02176,Southern Metropolitan,5051,,2017
2493,Keilor East,14 Noga Av,3,h,840000,VB,Whiting,7/15/2017,11.7,3033,3,1,2,575,138,1970,Moonee Valley,-37.74316,144.87894,Western Metropolitan,5629,,2017
2494,Hughesdale,9A Normanby St,2,h,980000,S,Woodards,5/20/2017,13,3166,2,1,1,387,126,1896,Monash,-37.9021,145.0837,Southern Metropolitan,3145,,2017
2495,Preston,252 Raglan St,3,h,1030000,S,Love,5/28/2016,8.8,3072,3,2,3,427,126,1970,Darebin,-37.749,145.0051,Northern Metropolitan,14577,,2016
2496,Bentleigh,12 Auckland St,3,h,1365000,S,Buxton,7/1/2017,11.4,3204,3,1,1,776,126,1970,Glen Eira,-37.92487,145.04703,Southern Metropolitan,6795,,2017
2497,Brunswick West,2/494 Victoria St,3,t,815000,S,Ray,6/27/2016,5.9,3055,3,1,2,157,123,1999,Moreland,-37.7652,144.9454,Northern Metropolitan,7082,,2016
2498,Fawkner,13 Mutton Rd,3,h,540000,S,Crane,11/7/2016,12.4,3060,3,1,1,614,94,1960,Moreland,-37.7141,144.9677,Northern Metropolitan,5070,,2016
2499,Fitzroy North,168 Scotchmer St,3,h,1581000,S,Jellis,5/28/2016,3.5,3068,3,1,0,193,132,1910,Yarra,-37.7836,144.985,Northern Metropolitan,6244,,2016
2500,Clifton Hill,31 Fenwick St,2,h,1450000,VB,Nelson,3/18/2017,3.4,3068,2,1,0,156,107,1890,Yarra,-37.7892,144.9999,Northern Metropolitan,2954,,2017
2501,Oak Park,3/21 Lex Gr,3,u,648000,S,Nelson,4/29/2017,11.5,3046,3,1,1,0,94,1998,Moreland,-37.7188,144.9243,Northern Metropolitan,2651,,2017
2502,Maribyrnong,4 Kallara Gr,5,h,930000,VB,Nelson,9/10/2016,8.7,3032,5,2,2,330,126,1970,Maribyrnong,-37.7859,144.8898,Western Metropolitan,4918,,2016
2503,Glen Iris,22 Renwick St,4,h,2325000,PI,Marshall,6/4/2016,9.2,3146,4,3,2,638,314,1930,Boroondara,-37.8523,145.0726,Southern Metropolitan,10412,,2016
2504,Toorak,20 Sargood St,2,t,2100000,PI,Abercromby's,2/25/2017,4.6,3142,2,2,3,457,126,1970,Stonnington,-37.8464,145.0142,Southern Metropolitan,7217,,2017
2505,Vermont,41 Carinya Rd,4,h,1235000,SP,Noel,6/24/2017,17.2,3133,4,2,4,624,161,1960,Whitehorse,-37.83344,145.19063,Eastern Metropolitan,4181,,2017
2506,Sunbury,6 Richardson Av,4,h,600000,S,YPA,9/23/2017,31.7,3429,4,2,1,1007,116,1980,,-37.57231,144.70429,Western Metropolitan,14092,,2017
2507,Collingwood,27/78 Oxford St,2,u,865000,PI,Biggin,5/14/2016,1.6,3066,2,2,1,0,126,1970,Yarra,-37.8035,144.985,Northern Metropolitan,4553,,2016
2508,Richmond,1/2 Little Kent St,2,t,1090000,S,Fletchers,4/8/2017,2.6,3121,2,2,1,0,137,2002,Yarra,-37.8151,145.0003,Northern Metropolitan,14949,,2017
2509,Rosanna,28 Millicent St,4,h,1775000,S,Miles,9/16/2017,8.9,3084,4,2,2,1240,126,1970,,-37.74085,145.07055,Eastern Metropolitan,3540,,2017
2510,South Yarra,8/44 Murphy St,1,u,955000,PI,Williams,12/10/2016,3.3,3141,1,1,1,0,85,1970,Stonnington,-37.8357,144.991,Southern Metropolitan,14887,,2016
2511,Bentleigh,39A McArthur St,4,t,1200000,PI,Buxton,6/3/2017,11.4,3204,4,2,2,293,226,2012,Glen Eira,-37.92594,145.03184,Southern Metropolitan,6795,,2017
2512,Keilor East,4 Trent Ct,4,h,1010000,S,Barry,5/14/2016,12.8,3033,4,2,2,776,268,1980,Moonee Valley,-37.7502,144.8745,Western Metropolitan,5629,,2016
2513,Preston,3 Carthew Gr,4,h,1075000,S,Nelson,5/13/2017,8.8,3072,4,1,2,521,146,1935,Darebin,-37.7506,144.99,Northern Metropolitan,14577,,2017
2514,Doncaster,24 Outlook Dr,3,h,1250000,PI,Fletchers,11/19/2016,13.9,3108,3,2,2,900,195,1970,Manningham,-37.7902,145.1344,Eastern Metropolitan,9028,,2016
2515,Kew,118 Derby St,3,h,1950000,S,Woodards,9/9/2017,5.4,3101,3,1,3,706,126,1970,,-37.79793,145.03834,Southern Metropolitan,10331,,2017
2516,Derrimut,7 Bateman Cl,3,h,630000,PI,FN,9/9/2017,14.7,3030,3,2,2,504,126,1970,,-37.79691,144.7669,Western Metropolitan,2276,,2017
2517,East Melbourne,4/24 Hotham St,2,u,810000,S,Biggin,5/13/2017,1.5,3002,2,1,1,944,126,1970,Melbourne,-37.8144,144.9896,Northern Metropolitan,3040,,2017
2518,Coburg,5/228 Reynard St,2,h,472000,S,Nelson,6/27/2016,7.8,3058,2,1,1,500,69,1975,Moreland,-37.747,144.9515,Northern Metropolitan,11204,,2016
2519,St Helena,16 Allumba Dr,3,h,897000,S,Buckingham,9/23/2017,16.1,3088,3,2,2,684,150,1985,,-37.68969,145.12366,Eastern Metropolitan,915,,2017
2520,Brunswick,3/38 Charles St,2,t,750000,PI,Nelson,9/10/2016,5.2,3056,2,2,1,118,88,2013,Moreland,-37.7723,144.9643,Northern Metropolitan,11918,,2016
2521,New Gisborne,71 Hamilton Rd,5,h,1355000,S,Raine,9/23/2017,48.1,3438,5,3,5,44500,44515,1970,,-37.45392,144.58864,Northern Victoria,849,,2017
2522,Richmond,7/129 Hoddle St,2,u,890500,SP,Biggin,6/24/2017,2.4,3121,2,2,2,180,123,1940,Yarra,-37.81443,144.99079,Northern Metropolitan,14949,,2017
2523,Reservoir,49 Liston Av,4,h,866000,S,HAR,8/19/2017,12,3073,4,2,4,576,150,1940,,-37.69742,145.01604,Northern Metropolitan,21650,,2017
2524,Braybrook,19 Hughes St,3,h,570500,S,Trimson,12/10/2016,10.8,3019,3,1,1,471,126,1960,Maribyrnong,-37.7924,144.8523,Western Metropolitan,3589,,2016
2525,Eltham,8 The Eyrie,4,h,810000,S,Mason,6/17/2017,18,3095,4,2,2,838,126,1970,Nillumbik,-37.69568,145.15787,Eastern Metropolitan,6990,,2017
2526,South Kingsville,63 Saltley St,3,h,995000,S,Burnham,5/20/2017,9.1,3015,3,1,0,669,126,1970,Hobsons Bay,-37.8303,144.8679,Western Metropolitan,984,,2017
2527,Glen Iris,1597 Malvern Rd,2,h,1280000,S,Noel,7/16/2016,9.2,3146,2,1,1,412,123,1950,Stonnington,-37.8541,145.051,Southern Metropolitan,10412,,2016
2528,Kurunjang,8 Carberry Dr,4,h,362000,SP,hockingstuart,7/22/2017,31.7,3337,4,2,2,685,141,1970,Melton,-37.67277,144.59643,Northern Victoria,3553,,2017
2529,Canterbury,4/34 Rochester Rd,2,u,722000,S,Jellis,11/12/2016,9,3126,2,1,1,0,92,1965,Boroondara,-37.8205,145.0828,Southern Metropolitan,3265,,2016
2530,Templestowe Lower,3 Artemis Ct,4,h,1280000,PI,Barry,8/19/2017,12.4,3107,4,2,2,887,195,1970,,-37.77493,145.12547,Eastern Metropolitan,5420,,2017
2531,Brighton East,22A Camperdown St,3,t,1302500,S,Buxton,3/4/2017,10.7,3187,3,2,2,391,126,1970,Bayside,-37.9179,145.0091,Southern Metropolitan,6938,,2017
2532,Altona,1/20 Mulga St,3,t,765000,S,Williams,6/17/2017,11,3018,3,2,2,200,139,2007,Hobsons Bay,-37.86837,144.81502,Western Metropolitan,5301,,2017
2533,Thornbury,184 Raleigh St,4,h,1428888,SP,Miles,3/4/2017,6.5,3071,4,2,1,470,153,1930,Darebin,-37.7601,145.0122,Northern Metropolitan,8870,,2017
2534,Rosanna,9 Greensborough Rd,3,h,515000,S,Ray,9/24/2016,11.4,3084,3,2,1,606,99,1955,Banyule,-37.7347,145.0783,Eastern Metropolitan,3540,,2016
2535,West Footscray,16 Market St,3,h,850000,S,Jas,7/22/2017,6.4,3012,3,1,2,269,111,1910,Maribyrnong,-37.79638,144.87911,Western Metropolitan,5058,,2017
2536,Epping,14A Supply Dr,2,h,452500,S,Barry,5/27/2017,19.6,3076,2,1,1,279,126,1970,Whittlesea,-37.65791,145.02643,Northern Metropolitan,10926,,2017
2537,Bentleigh East,11b Lilac St,4,t,1005000,SP,Woodards,7/16/2016,13.9,3165,4,2,2,296,205,2006,Glen Eira,-37.9197,145.057,Southern Metropolitan,10969,,2016
2538,Reservoir,3/66 Darebin Bvd,2,u,401000,S,Darren,12/10/2016,11.2,3073,2,1,1,184,77,1965,Darebin,-37.7043,145.0277,Northern Metropolitan,21650,,2016
2539,Richmond,153/73 River St,2,u,560000,SP,Biggin,5/28/2016,2.6,3121,2,2,1,0,70,2004,Yarra,-37.8189,145.0131,Northern Metropolitan,14949,,2016
2540,Balwyn,2/8 Evelina St,4,t,1400000,PI,Noel,11/12/2016,9.7,3103,4,3,2,241,240,2009,Boroondara,-37.8042,145.1042,Southern Metropolitan,5682,,2016
2541,South Morang,141 Hawkstowe Pde,5,h,905000,S,Ray,6/3/2017,20.5,3752,5,5,3,700,270,2010,Whittlesea,-37.6236,145.10629,Northern Metropolitan,7969,,2017
2542,Bentleigh East,1 Sassella St,3,h,1311000,SP,Jellis,8/26/2017,13.8,3165,3,2,3,632,194,1950,,-37.92599,145.07537,Southern Metropolitan,10969,,2017
2543,Toorak,1/21 Bruce St,1,u,349000,PI,Williams,5/7/2016,4.6,3142,1,1,1,0,38,1958,Stonnington,-37.8369,145.0077,Southern Metropolitan,7217,,2016
2544,Carrum Downs,60 Carrington Cr,3,h,578000,S,Harcourts,9/16/2017,34.9,3201,3,2,2,673,677,1970,,-38.1046,145.19339,South-Eastern Metropolitan,8060,,2017
2545,Ivanhoe,5/125 Locksley Rd,2,u,460000,VB,Fletchers,4/16/2016,7.9,3079,2,0,0,0,126,1970,Banyule,-37.7662,145.0516,Eastern Metropolitan,5549,,2016
2546,Glen Waverley,20 Cowrie St,4,h,1200000,S,Harcourts,7/29/2017,16.7,3150,4,2,2,660,126,1970,Monash,-37.88927,145.18548,Eastern Metropolitan,15321,,2017
2547,Middle Park,81 Erskine St,3,h,2090000,S,Chisholm,8/26/2017,3,3206,3,1,0,199,113,1900,,-37.84804,144.96066,Southern Metropolitan,2019,,2017
2548,Maribyrnong,56 Skyline Dr,5,t,1000000,PI,Edward,2/25/2017,8.7,3032,5,3,2,98,126,1970,Maribyrnong,-37.7843,144.8939,Western Metropolitan,4918,,2017
2549,Yarraville,7/88 Stephen St,2,u,782000,S,hockingstuart,3/4/2017,7,3013,2,1,1,1555,92,2013,Maribyrnong,-37.8156,144.8943,Western Metropolitan,6543,,2017
2550,Carlton,309/20 Reeves St,1,u,310000,PI,hockingstuart,5/22/2016,1.8,3053,1,1,1,0,126,1970,Melbourne,-37.7929,144.9705,Northern Metropolitan,6786,,2016
2551,Maidstone,5 Ballarat Rd,2,h,610000,PI,Sweeney,8/19/2017,6.4,3012,2,1,2,208,126,1970,,-37.78865,144.88276,Western Metropolitan,3873,,2017
2552,Kew,43 Fernhurst Gr,4,h,1690000,S,RT,3/4/2017,5.6,3101,4,3,1,358,126,1970,Boroondara,-37.8034,145.0283,Southern Metropolitan,10331,,2017
2553,Clarinda,10 Boree Av,4,h,1241000,S,Woodards,8/12/2017,17.5,3169,4,2,2,625,625,1950,Kingston,-37.92801,145.1057,South-Eastern Metropolitan,2727,,2017
2554,Fitzroy North,7/14 Rae St,1,u,358500,SP,Jellis,3/4/2017,3.5,3068,1,1,1,0,40,1975,Yarra,-37.7925,144.9786,Northern Metropolitan,6244,,2017
2555,South Yarra,639 Punt Rd,4,h,1855500,S,Greg,7/8/2017,2.7,3141,4,2,1,176,216,1880,Melbourne,-37.83986,144.98598,Southern Metropolitan,14887,,2017
2556,Reservoir,1/72 Purinuan Rd,3,t,620000,S,RW,12/3/2016,11.2,3073,3,2,2,207,126,2006,Darebin,-37.7086,145.0251,Northern Metropolitan,21650,,2016
2557,Brighton,176 Were St,5,h,1562500,PI,Buxton,9/10/2016,11.2,3186,5,2,2,655,202,1925,Bayside,-37.9264,145.0044,Southern Metropolitan,10579,,2016
2558,Strathmore,27 Henshall Rd,3,h,1330000,S,Considine,9/10/2016,9.7,3041,3,2,1,606,159,1950,Moonee Valley,-37.7378,144.9168,Western Metropolitan,3284,,2016
2559,Footscray,7 Batman St,3,h,1100000,S,Burnham,5/27/2017,5.1,3011,3,1,0,390,126,1970,Maribyrnong,-37.79977,144.88887,Western Metropolitan,7570,,2017
2560,Doncaster,67 Hampshire Rd,3,h,1345000,S,Jellis,7/8/2017,12.4,3108,3,3,3,823,126,1970,Manningham,-37.79461,145.14206,Eastern Metropolitan,9028,,2017
2561,Preston,1 Tynan St,3,h,1070000,S,Nelson,3/18/2017,8.8,3072,3,1,2,585,126,1970,Darebin,-37.7358,144.9889,Northern Metropolitan,14577,,2017
2562,Coburg,13 Kaye Ct,4,h,838000,S,Jellis,5/28/2016,7.8,3058,4,1,1,576,147,1960,Moreland,-37.7369,144.9637,Northern Metropolitan,11204,,2016
2563,Whittlesea,30 Sherwin St,3,h,601000,S,Ray,7/29/2017,35.5,3757,3,2,1,972,149,1996,Whittlesea,-37.51232,145.13282,Northern Victoria,2170,,2017
2564,Glenroy,1/26 York St,3,t,595000,SP,Nelson,5/20/2017,13,3046,3,1,2,258,142.6,2001,Moreland,-37.7047,144.9087,Northern Metropolitan,8870,,2017
2565,Watsonia North,27 Kurrajong Cr,3,h,710000,S,Ray,7/22/2017,14.5,3087,3,1,2,600,115,1974,Banyule,-37.69872,145.08743,Northern Metropolitan,1442,,2017
2566,Glen Huntly,1/205 Grange Rd,2,u,640000,S,Gary,7/26/2016,10.4,3163,2,1,1,1784,110,1970,Glen Eira,-37.8966,145.0453,Southern Metropolitan,2403,,2016
2567,Armadale,9/55 Northcote Rd,1,u,421500,S,Biggin,12/3/2016,6.3,3143,1,1,0,0,126,1970,Stonnington,-37.853,145.0167,Southern Metropolitan,4836,,2016
2568,Braybrook,2/10 Skewes St,3,u,495000,S,Bells,6/4/2016,10.8,3019,3,2,1,327,124,2006,Maribyrnong,-37.7851,144.8517,Western Metropolitan,3589,,2016
2569,Coburg,33 Wellington St,3,h,860000,S,Peter,6/4/2016,7.8,3058,3,1,1,283,109,1915,Moreland,-37.7416,144.9582,Northern Metropolitan,11204,,2016
2570,Hawthorn,1/23 Glen St,2,u,670000,S,Woodards,7/15/2017,5.3,3122,2,1,0,0,126,1980,Boroondara,-37.83108,145.0353,Southern Metropolitan,11308,,2017
2571,Reservoir,39 Shand Rd,2,h,730000,VB,Ray,8/28/2016,11.2,3073,2,1,2,637,126,1970,Darebin,-37.7207,145.0196,Northern Metropolitan,21650,,2016
2572,Ivanhoe East,12 Wilfred Rd,2,h,1853000,S,Ray,6/17/2017,7.8,3079,2,2,2,751,126,1970,Banyule,-37.77521,145.05426,Eastern Metropolitan,1554,,2017
2573,Doncaster,5 Warren St,5,h,1322000,S,Jellis,9/24/2016,13.9,3108,5,1,0,729,126,1970,Manningham,-37.7932,145.1123,Eastern Metropolitan,9028,,2016
2574,Bentleigh,2/531 South Rd,3,t,895000,PI,Ray,9/3/2016,13,3204,3,2,2,362,126,1997,Glen Eira,-37.9336,145.043,Southern Metropolitan,6795,,2016
2575,Brighton,823 Hampton St,4,h,2475000,VB,Marshall,11/19/2016,11.2,3186,4,2,2,605,274,1920,Bayside,-37.916,145.0064,Southern Metropolitan,10579,,2016
2576,Docklands,1508/50 Lorimer St,2,u,800000,VB,RT,6/27/2016,1.9,3008,2,2,2,0,128,1970,Melbourne,-37.8249,144.9476,Southern Metropolitan,4707,,2016
2577,North Melbourne,60 Arden St,4,h,1475000,S,Jellis,8/12/2017,1.8,3051,4,2,1,137,126,1970,Melbourne,-37.80072,144.9496,Northern Metropolitan,6821,,2017
2578,Reservoir,3/41 Fordham Rd,2,t,495000,S,Nelson,11/12/2016,11.2,3073,2,1,1,96,73,2013,Darebin,-37.7139,145.0198,Northern Metropolitan,21650,,2016
2579,Glenroy,101 Evell St,3,h,690000,SP,YPA,5/13/2017,13,3046,3,1,2,650,126,1970,Moreland,-37.699,144.9421,Northern Metropolitan,8870,,2017
2580,Carnegie,83 Truganini Rd,3,h,1910000,S,Buxton,2/25/2017,11.4,3163,3,1,1,720,126,1970,Glen Eira,-37.8922,145.0544,Southern Metropolitan,7822,,2017
2581,Parkdale,1 Robert St,4,h,1230000,PI,Buxton,9/9/2017,21.5,3195,4,2,2,787,126,1970,,-37.98616,145.08139,South-Eastern Metropolitan,5087,,2017
2582,Flemington,90 Edinburgh St,3,h,1315000,S,Nelson,8/13/2016,4.4,3031,2,1,1,313,20,1970,Moonee Valley,-37.7853,144.9235,Northern Metropolitan,3593,,2016
2583,Box Hill,11 Howard St,3,h,2080000,S,Buxton,4/22/2017,13.1,3128,3,2,2,693,158,1925,Whitehorse,-37.8229,145.1217,Eastern Metropolitan,4605,,2017
2584,Brunswick,94 Davies St,4,h,1385000,PI,Jellis,5/13/2017,5.2,3056,4,2,4,650,173.45,1950,Moreland,-37.7575,144.9716,Northern Metropolitan,11918,,2017
2585,Keilor East,20 Keith Gr,3,h,825000,S,Nelson,4/23/2016,12.8,3033,3,2,1,630,126,2017,Moonee Valley,-37.7378,144.8705,Western Metropolitan,5629,,2016
2586,Braybrook,29 Hampden St,3,h,680000,S,Barry,11/27/2016,10.8,3019,3,1,1,565,126,1970,Maribyrnong,-37.7885,144.859,Western Metropolitan,3589,,2016
2587,Oakleigh East,16 Leumear St,3,h,1292000,S,Harcourts,5/27/2017,12.3,3166,3,1,1,716,126,1970,Monash,-37.90295,145.11939,Southern Metropolitan,2547,,2017
2588,Kingsville,182 Williamstown Rd,3,h,900000,SP,Jas,8/12/2017,6.4,3012,3,1,1,275,11,1936,Maribyrnong,-37.81167,144.88346,Western Metropolitan,1808,,2017
2589,Williamstown,44 Electra St,4,h,2165000,SP,Greg,5/6/2017,8,3016,4,2,2,450,190,1910,Hobsons Bay,-37.861,144.8985,Western Metropolitan,6380,,2017
2590,Flemington,4 Farnham St,3,h,1115000,S,Nelson,11/27/2016,4.4,3031,3,1,1,244,84,1940,Moonee Valley,-37.7823,144.9278,Northern Metropolitan,3593,,2016
2591,Preston,105 Gower St,3,h,1115000,S,McGrath,5/27/2017,8.4,3072,3,1,2,680,129,1960,Darebin,-37.74244,145.02006,Northern Metropolitan,14577,,2017
2592,Hadfield,2/3 Surrey St,2,u,487000,SP,Peter,9/10/2016,12.1,3046,2,1,2,198,96,2010,Moreland,-37.7132,144.9488,Northern Metropolitan,2606,,2016
2593,Fitzroy,8/98 George St,1,u,420000,S,Caine,2/25/2017,1.6,3065,1,1,1,782,42,1975,Yarra,-37.8055,144.9809,Northern Metropolitan,5825,,2017
2594,Reservoir,13 Clements Gr,2,h,635000,SP,Ray,10/15/2016,11.2,3073,2,2,2,654,126,1970,Darebin,-37.7134,145.0235,Northern Metropolitan,21650,,2016
2595,Doncaster,31 Massey St,3,h,900000,PI,Ray,7/16/2016,13.9,3108,2,2,2,366,150,2013,Manningham,-37.792,145.1077,Eastern Metropolitan,9028,,2016
2596,Craigieburn,2 Benston St,4,h,725000,S,@Realty,6/3/2017,20.6,3064,4,2,3,854,126,1950,Hume,-37.59908,144.93954,Northern Metropolitan,15510,,2017
2597,Watsonia,56 Frensham Rd,3,h,671000,S,Barry,11/12/2016,14.9,3087,3,2,2,280,163,2002,Banyule,-37.7153,145.0854,Northern Metropolitan,2329,,2016
2598,Maribyrnong,31 Monash St,4,h,1030000,S,Jas,5/28/2016,8.7,3032,4,2,1,573,196,1925,Maribyrnong,-37.7844,144.8876,Western Metropolitan,4918,,2016
2599,Brunswick West,3/546 Moreland Rd,2,u,370000,S,Ray,3/18/2017,5.9,3055,2,1,1,2120,59,1960,Moreland,-37.7524,144.9347,Northern Metropolitan,7082,,2017
2600,Meadow Heights,16 Papworth Pl,4,h,515000,PI,RW,7/15/2017,17.4,3048,4,3,0,653,122,1985,Hume,-37.65155,144.91912,Northern Metropolitan,4704,,2017
2601,Fairfield,147 Gillies St,3,h,1375000,S,McGrath,8/28/2016,5.8,3078,3,1,1,496,122,1910,Darebin,-37.7737,145.018,Northern Metropolitan,2970,,2016
2602,Kew,48 Malin St,4,h,2600000,S,Marshall,5/13/2017,5.6,3101,4,2,0,320,186.36,1920,Boroondara,-37.8127,145.0451,Southern Metropolitan,10331,,2017
2603,Dandenong North,7 Buchan St,5,h,895000,S,Barry,7/22/2017,24.7,3175,5,2,4,779,186,1970,Greater Dandenong,-37.94465,145.21236,South-Eastern Metropolitan,8322,,2017
2604,Clayton South,2/21 Oakes Av,2,u,575000,SP,Buxton,9/3/2017,17.5,3169,2,1,2,914,89,1970,,-37.93524,145.1306,South-Eastern Metropolitan,4734,,2017
2605,Cranbourne,48 Majestic Bvd,5,h,720008,SP,O'Brien,8/26/2017,34.7,3977,5,3,2,528,204,2006,,-38.08902,145.29006,South-Eastern Metropolitan,7680,,2017
2606,Avondale Heights,68 Thompson St,3,h,680000,S,Nelson,8/6/2016,10.5,3034,3,1,2,570,120,1970,Moonee Valley,-37.7591,144.8542,Western Metropolitan,4502,,2016
2607,Travancore,2115/18 Mt Alexander Rd,2,u,341500,S,McGrath,7/15/2017,4.3,3032,2,1,1,16000,68.5,2012,Moonee Valley,-37.78466,144.93829,Western Metropolitan,1052,,2017
2608,Carrum Downs,5 Atkins Ct,3,h,500000,S,Ray,6/17/2017,34.9,3201,3,2,2,509,125,1993,Frankston,-38.09111,145.19084,South-Eastern Metropolitan,8060,,2017
2609,Sunshine,7 Donald St,3,h,762500,S,GL,11/27/2016,12.6,3020,3,1,1,510,126,1970,Brimbank,-37.7903,144.8387,Western Metropolitan,3755,,2016
2610,Beaumaris,14 Cavell Ct,5,h,1780000,S,hockingstuart,8/12/2017,17.3,3193,5,3,2,613,126,1970,Bayside,-37.97732,145.04388,Southern Metropolitan,5366,,2017
2611,Maidstone,21 Pullar St,3,h,490000,SP,Jas,6/4/2016,9.2,3012,3,1,2,306,91,1960,Maribyrnong,-37.7838,144.8724,Western Metropolitan,3873,,2016
